"","Cues","Targets","Forward.Strength","Mediated.Strength"
"9358","RACCOON","FOREST",0.028,2e-04
"9359","RACCOON","GARBAGE",0.028,0
"9360","RACCOON","POSSUM",0.028,0
"9361","RACCOON","SQUIRREL",0.07,8e-04
"9362","RACCOON","STRIPE",0.028,3e-04
"9363","RACK","CLOSET",0.026,0.0069
"9364","RACK","CLOTHES",0.085,0.0208
"9365","RACK","HOLDER",0.026,0
"9366","RACK","STORAGE",0.033,0.0031
"9367","RACKET","TENNIS",0.504,0
"9368","RACQUET","TENNIS",0.23,0.0017
"9369","RACQUETBALL","RACQUET",0.078,0
"9370","RACQUETBALL","TENNIS",0.196,0.04
"9371","RADIATOR","COOLANT",0.033,0
"9372","RADIATOR","HEATER",0.059,0
"9373","RADIO","FREQUENCY",0.047,0
"9374","RADIO","LISTEN",0.027,0.0114
"9375","RADIO","STATION",0.095,0.0014
"9376","RADIO","STEREO",0.203,0.0119
"9377","RADIO","TELEVISION",0.068,0.0019
"9378","RADISH","CARROT",0.048,0.0349
"9379","RADISH","CUCUMBER",0.027,7e-04
"9380","RADISH","TURNIP",0.027,0
"9381","RADISH","VEGETABLE",0.26,0.0083
"9382","RAG","RAGTIME",0.027,0
"9383","RAIL","HANDLE",0.028,0
"9384","RAILROAD","CROSSING",0.062,0
"9385","RAIN","SHOWER",0.032,0
"9386","RAIN","THUNDER",0.045,0.0063
"9387","RAIN","UMBRELLA",0.038,0
"9388","RAINBOW","BEAUTIFUL",0.041,0.0039
"9389","RAINBOW","PRETTY",0.041,0.0159
"9390","RAINY","CLOUDY",0.162,0.017
"9391","RAINY","DREARY",0.041,0
"9392","RAINY","WEATHER",0.054,0.0055
"9393","RAISIN","CEREAL",0.03,0.0271
"9394","RAKE","GARDEN",0.027,0.0138
"9395","RAKE","LEAVES",0.622,0
"9396","RAKE","SHOVEL",0.088,0.0029
"9397","RAM","ANIMAL",0.052,0.0092
"9398","RAM","FOOTBALL",0.041,0
"9399","RAM","LOS ANGELES",0.144,0
"9400","RANCH","CATTLE",0.126,0
"9401","RANCH","COUNTRY",0.031,0.0078
"9402","RANGE","DISTANCE",0.082,8e-04
"9403","RANGE","DOMAIN",0.026,0
"9404","RANK","COLONEL",0.027,5e-04
"9405","RANK","GENERAL",0.034,0.0045
"9406","RANK","MILITARY",0.034,0.0093
"9407","RANK","OFFICER",0.027,0.0021
"9408","RANK","POSITION",0.027,0.0013
"9409","RANK","SERGEANT",0.034,0.0036
"9410","RAPE","INVASION",0.034,0
"9411","RAPE","MURDER",0.055,0.0106
"9412","RAPE","VICTIM",0.055,0
"9413","RAPE","VIOLATION",0.028,0
"9414","RAPE","VIOLENT",0.055,0.0041
"9415","RARE","COMMON",0.084,0.0097
"9416","RARE","EXTINCT",0.042,0
"9417","RARE","MEDIUM",0.035,0
"9418","RARE","UNCOMMON",0.028,0.0081
"9419","RARE","UNIQUE",0.077,0.0036
"9420","RARE","UNUSUAL",0.035,0.0055
"9421","RARE","WELL-DONE",0.035,0
"9422","RASH","DISEASE",0.033,9e-04
"9423","RASH","POISON IVY",0.033,0
"9424","RASPBERRY","BLUEBERRY",0.063,0.0075
"9425","RASPBERRY","CHERRY",0.04,0.0088
"9426","RASPBERRY","STRAWBERRY",0.135,0.015
"9427","RASPBERRY","YOGURT",0.032,0
"9428","RAT","ANIMAL",0.034,0.0027
"9429","RAT","RODENT",0.182,0.0125
"9430","RATE","INTEREST",0.061,0
"9431","RATE","PERCENT",0.047,8e-04
"9432","RATIONALIZE","EXCUSE",0.055,0.0092
"9433","RATIONALIZE","FIGURE",0.028,0
"9434","RATIONALIZE","REASON",0.11,0.0102
"9435","RATIONALIZE","UNDERSTAND",0.028,5e-04
"9436","RAW","BLOODY",0.027,0
"9437","RAW","COOKED",0.068,0.0048
"9438","RAW","UNCOOKED",0.082,9e-04
"9439","RAW","VEGETABLE",0.027,0.0011
"9440","RAY","RAYBAN",0.054,0
"9441","RAY","STINGRAY",0.081,0
"9442","RAY","SUNSHINE",0.094,0
"9443","RAYS","SUNLIGHT",0.047,0
"9444","RAYS","SUNSHINE",0.027,0
"9445","RAYS","X-RAYS",0.04,0
"9446","REACH","EXTEND",0.041,0
"9447","REACH","STRETCH",0.09,0
"9448","REACTION","ACTION",0.103,0.0046
"9449","REACTION","EFFECT",0.027,0.0054
"9450","REACTION","FEELING",0.027,0
"9451","REACTION","REFLECT",0.062,0
"9452","REACTION","RESPONSE",0.082,0.01
"9453","REACTION","STIMULUS",0.048,0
"9454","READER","WRITER",0.101,0.0045
"9455","READING","BORING",0.04,0.004
"9456","READING","WRITING",0.253,0
"9457","READY","FINISH",0.034,0.0373
"9458","READY","ON TIME",0.027,0
"9459","READY","PREPARED",0.048,0
"9460","READY","WILLING",0.041,0.0037
"9461","REAL","ESTATE",0.036,0
"9462","REAL","GENUINE",0.029,0.0055
"9463","REAL","IMAGINARY",0.064,0
"9464","REAL","PEOPLE",0.029,0.0117
"9465","REAL","UNREAL",0.036,0
"9466","REAL ESTATE","BROKER",0.034,0
"9467","REAL ESTATE","PROPERTY",0.11,0.0037
"9468","REALITY","FANTASY",0.128,0.0137
"9469","REALITY","FICTION",0.027,8e-04
"9470","REALITY","ILLUSION",0.061,0
"9471","REALIZE","ACKNOWLEDGE",0.039,0
"9472","REALIZE","DISCOVER",0.033,0
"9473","REALIZE","LIGHT BULB",0.026,0
"9474","REALIZE","NOTICE",0.026,0.0016
"9475","REALIZE","REMEMBER",0.046,0
"9476","REALIZE","UNDERSTAND",0.158,0.0091
"9477","REAP","BENEFIT",0.028,0
"9478","REAP","HARVEST",0.244,0
"9479","REAPPEAR","APPEAR",0.041,0.0577
"9480","REAPPEAR","COME BACK",0.048,0
"9481","REAPPEAR","DISAPPEAR",0.374,0.0282
"9482","REAPPEAR","RETURN",0.027,0
"9483","REAPPEAR","VISIBLE",0.027,0
"9484","REAR","BEHIND",0.088,0.0034
"9485","REAR","BUMPER",0.027,0
"9486","REARRANGE","CHANGE",0.137,0.0086
"9487","REARRANGE","DISORDER",0.027,0
"9488","REARRANGE","FURNITURE",0.062,0.0018
"9489","REARRANGE","ORGANIZE",0.123,4e-04
"9490","REARRANGE","REORGANIZE",0.034,0
"9491","REARRANGE","SWITCH",0.027,0.0033
"9492","REASON","BECAUSE",0.036,0.0514
"9493","REASON","EXCUSE",0.076,0.0082
"9494","REASON","EXPLANATION",0.051,0
"9495","REASON","PURPOSE",0.03,4e-04
"9496","REBEL","AGAINST",0.062,0
"9497","RECALL","FORGET",0.028,0.2654
"9498","RECALL","MEMORY",0.122,0.0824
"9499","RECALL","REMEMBER",0.528,0.0298
"9500","RECEIPT","CHANGE",0.053,0.0013
"9501","RECEIPT","PAYMENT",0.033,0.0014
"9502","RECEIPT","PURCHASE",0.086,0.0073
"9503","RECEIPT","TICKET",0.033,0
"9504","RECEIVE","LETTER",0.028,0.0115
"9505","RECEIVE","PRESENT",0.035,0.05
"9506","RECENT","CURRENT",0.039,0
"9507","RECENT","LATELY",0.059,0
"9508","RECENT","YESTERDAY",0.098,0.0029
"9509","RECEPTIONIST","OFFICE",0.079,0.0378
"9510","RECEPTIONIST","SECRETARY",0.49,0.0056
"9511","RECEPTIONIST","TELEPHONE",0.046,0.0011
"9512","RECIPE","COOKIE",0.032,0.0018
"9513","RECIPE","INGREDIENT",0.026,0
"9514","RECKLESS","ABANDONMENT",0.034,0
"9515","RECKLESS","ACCIDENT",0.034,0
"9516","RECKLESS","CARELESS",0.136,0.0015
"9517","RECKLESS","DANGEROUS",0.054,3e-04
"9518","RECKLESS","DRIVER",0.122,0.0129
"9519","RECKLESS","DRIVING",0.156,0
"9520","RECLINER","COMFORTABLE",0.034,0.008
"9521","RECOGNITION","ACKNOWLEDGE",0.034,0.0022
"9522","RECOGNITION","NOTICE",0.061,0.0019
"9523","RECOGNITION","POPULAR",0.041,8e-04
"9524","RECOGNITION","PRAISE",0.102,0
"9525","RECOMMEND","ADVICE",0.044,0.0172
"9526","RECOMMEND","ADVISE",0.089,1e-04
"9527","RECOMMEND","ASSIST",0.028,0.0022
"9528","RECOMMEND","SUGGEST",0.2,0.0028
"9529","RECOMMENDATION","ADVICE",0.033,0.0034
"9530","RECOMMENDATION","DOCTOR",0.027,7e-04
"9531","RECOMMENDATION","LETTER",0.113,0.0013
"9532","RECOMMENDATION","PROMOTION",0.033,0
"9533","RECOMMENDATION","RESUME",0.033,0
"9534","RECOMMENDATION","SUGGEST",0.04,0.0026
"9535","RECOMMENDATION","TEACHER",0.04,0.0109
"9536","RECORD","PLAYER",0.089,0.0113
"9537","RECREATION","SPORTS",0.099,0
"9538","RECRUIT","ENLIST",0.103,0
"9539","RECRUIT","SERVICE",0.032,0.0052
"9540","RECTANGLE","CIRCLE",0.034,0.3436
"9541","RECTANGLE","GEOMETRY",0.034,0.0145
"9542","RECTANGLE","SQUARE",0.716,0.0482
"9543","RECTANGLE","TRIANGLE",0.047,0.0323
"9544","RECYCLE","ALUMINUM",0.099,0
"9545","RECYCLE","ENVIRONMENT",0.039,0
"9546","RECYCLE","PLASTIC",0.033,3e-04
"9547","REDUCE","DECREASE",0.026,0.0645
"9548","REDUCE","ENLARGE",0.052,0
"9549","REDUCE","INCREASE",0.144,0.014
"9550","REDUCE","MINIMIZE",0.033,0
"9551","REDUCE","SUBTRACT",0.059,0.021
"9552","REEL","FISHING",0.331,0.0777
"9553","REFEREE","BASEBALL",0.04,0.048
"9554","REFEREE","BLACK AND WHITE",0.027,0
"9555","REFEREE","FOOTBALL",0.141,0.0508
"9556","REFEREE","OFFICIAL",0.027,0
"9557","REFEREE","SOCCER",0.107,0.005
"9558","REFEREE","SPORTS",0.081,0.0016
"9559","REFEREE","STRIPE",0.06,0
"9560","REFEREE","UMPIRE",0.06,4e-04
"9561","REFLECT","LOOK BACK",0.027,0
"9562","REFLECT","MIRROR",0.507,0.002
"9563","REFLECTION","MIRROR",0.715,0.005
"9564","REFRAIN","HOLD BACK",0.047,0
"9565","REFRESHING","LEMONADE",0.06,0
"9566","REFRIGERATOR","FREEZER",0.121,0
"9567","REFUSE","ACCEPT",0.033,0.0135
"9568","REFUSE","GARBAGE",0.028,0.0089
"9569","REFUSE","REJECT",0.039,0.0096
"9570","REGISTER","CLASSES",0.066,0
"9571","REGISTER","SIGN UP",0.093,0
"9572","REGRET","SORROW",0.076,0.0037
"9573","REGULAR","ALWAYS",0.042,0.0065
"9574","REGULAR","AVERAGE",0.035,0.0135
"9575","REGULAR","IRREGULAR",0.201,0
"9576","REGULAR","NORMAL",0.174,0.0251
"9577","REGULAR","ORDINARY",0.056,0.0103
"9578","REGULAR","UNLEADED",0.035,0
"9579","REINDEER","CHRISTMAS",0.255,0.0674
"9580","REINDEER","RUDOLPH",0.196,0
"9581","REINDEER","SLEIGH",0.039,0
"9582","REJECT","ACCEPT",0.169,0.0044
"9583","REJECT","DISLIKE",0.027,0.0017
"9584","REJECT","REFUSE",0.034,0.0048
"9585","REJECT","THROW AWAY",0.068,0
"9586","REJOICE","CELEBRATE",0.078,0
"9587","REJOICE","HAPPINESS",0.05,0.008
"9588","RELATION","FAMILY",0.134,0.0185
"9589","RELATION","FRIEND",0.106,0.0323
"9590","RELATION","MOTHER",0.056,0.0237
"9591","RELATION","PARENT",0.042,0.0186
"9592","RELATION","RELATIONSHIP",0.07,0
"9593","RELATION","RELATIVE",0.085,0.0179
"9594","RELATION","SISTER",0.042,0.0083
"9595","RELATIONSHIP","BOYFRIEND",0.052,0.023
"9596","RELATIONSHIP","COMMITMENT",0.026,0.0031
"9597","RELATIONSHIP","FRIEND",0.084,0.0064
"9598","RELATIONSHIP","GIRLFRIEND",0.045,0.0238
"9599","RELATIONSHIP","MARRIAGE",0.078,0.0057
"9600","RELATIONSHIP","TOGETHER",0.026,0.0013
"9601","RELATIVE","BROTHER",0.027,0.0383
"9602","RELATIVE","COUSIN",0.074,0.0018
"9603","RELATIVE","FAMILY",0.115,0.0182
"9604","RELATIVE","FRIEND",0.068,0.0307
"9605","RELATIVE","GRANDMA",0.027,0
"9606","RELATIVE","MOTHER",0.074,0.0165
"9607","RELATIVE","PARENT",0.034,0.0152
"9608","RELATIVE","PERSON",0.027,7e-04
"9609","RELATIVE","SISTER",0.061,0.0233
"9610","RELATIVITY","EINSTEIN",0.068,4e-04
"9611","RELATIVITY","PHYSICS",0.041,0.0019
"9612","RELATIVITY","RELATION",0.048,0
"9613","RELATIVITY","SCIENCE",0.075,0.0261
"9614","RELATIVITY","SIMILAR",0.034,0.0072
"9615","RELATIVITY","THEORY",0.123,0.0013
"9616","RELAX","COMFORTABLE",0.054,0
"9617","RELAXED","COMFORTABLE",0.059,0
"9618","RELAXED","STRESSED",0.026,0
"9619","RELEASE","LET GO",0.26,0
"9620","RELEASE","PRISON",0.034,0.0039
"9621","RELIABLE","DEPENDABLE",0.259,0
"9622","RELIABLE","FRIEND",0.048,0.0377
"9623","RELIABLE","RESPONSIBLE",0.054,0.0031
"9624","RELIABLE","TRUSTWORTHY",0.156,0.0013
"9625","RELIABLE","UNRELIABLE",0.061,0
"9626","RELIEF","HEADACHE",0.026,0.0189
"9627","RELIEF","PITCHER",0.026,0
"9628","RELIEF","ROLAIDS",0.085,0
"9629","RELIEF","TENSION",0.026,0
"9630","RELIGION","ATHEIST",0.027,0
"9631","RELIGION","BAPTIST",0.027,0.0023
"9632","RELIGION","CATHOLIC",0.162,0.013
"9633","RELIGION","CHRIST",0.027,0.0018
"9634","RELIGION","CHRISTIAN",0.034,0.01
"9635","RELIGION","CHURCH",0.155,0.0536
"9636","RELIGION","JEWISH",0.068,0.0177
"9637","RELIGIOUS","BELIEF",0.042,6e-04
"9638","RELIGIOUS","CATHOLIC",0.035,0.0085
"9639","RELIGIOUS","CHRISTIAN",0.035,0.0034
"9640","RELIGIOUS","CHURCH",0.118,0.0404
"9641","RELIGIOUS","FANATIC",0.049,0
"9642","RELIGIOUS","JEWISH",0.035,0.0047
"9643","RELIGIOUS","PRIEST",0.028,0.0037
"9644","RELISH","CHERISH",0.047,0
"9645","RELISH","HOT DOGS",0.27,0.0039
"9646","RELISH","MUSTARD",0.074,0.0308
"9647","RELISH","PICKLES",0.182,0
"9648","RELY","COUNT ON",0.029,0
"9649","RELY","DEPEND",0.557,0
"9650","RELY","FRIEND",0.079,0.0587
"9651","REMARK","ANSWER",0.116,0.0494
"9652","REMARK","COMMENT",0.281,0.0021
"9653","REMARK","RESPOND",0.034,0
"9654","REMARK","STATEMENT",0.048,0.0073
"9655","REMEDY","MEDICINE",0.193,0.0345
"9656","REMEDY","SOLUTION",0.079,0
"9657","REMEMBER","FORGET",0.493,0.009
"9658","REMEMBER","MEMORY",0.152,0.0261
"9659","REMEMBER","RECALL",0.094,0.0021
"9660","REMIND","FORGET",0.322,0.1051
"9661","REMIND","MEMORY",0.026,0.041
"9662","REMIND","REMEMBER",0.211,0.1719
"9663","REMIND","REPEAT",0.033,0.0131
"9664","REMINISCENCE","MEMORY",0.119,0.0792
"9665","REMINISCENCE","REMEMBER",0.516,0.0142
"9666","REMORSE","REGRET",0.123,0.0016
"9667","REMORSE","SORROW",0.068,0.0156
"9668","REMOVE","REPLACE",0.054,0
"9669","REMOVER","MAKE UP",0.066,0
"9670","REMOVER","NAIL POLISH",0.384,0
"9671","REMOVER","STAPLE",0.026,0
"9672","RENOUNCE","ANNOUNCE",0.061,0
"9673","RENOUNCE","DISOWN",0.028,0
"9674","RENOUNCE","GIVE UP",0.033,0
"9675","RENT","APARTMENT",0.155,0.018
"9676","RENT","BORROW",0.034,0.0032
"9677","REPAIR","BROKEN",0.086,0.0621
"9678","REPEAT","REDUNDANT",0.027,0
"9679","REPENTANCE","CHURCH",0.076,0.0204
"9680","REPENTANCE","CONFESSION",0.045,0.0083
"9681","REPENTANCE","FORGIVE",0.195,0.008
"9682","REPENTANCE","SORROW",0.04,0.0026
"9683","REPLACE","BROKEN",0.039,0.0141
"9684","REPLACE","CHANGE",0.053,7e-04
"9685","REPLACE","EXCHANGE",0.026,0
"9686","REPLACE","PUT BACK",0.039,0
"9687","REPLACE","REMOVE",0.033,0
"9688","REPLACE","REPAIR",0.039,0.0215
"9689","REPLACE","SUBSTITUTE",0.026,0
"9690","REPLY","ANSWER",0.745,0.0209
"9691","REPLY","RESPONSE",0.041,0.0529
"9692","REPRESS","DEPRESS",0.033,0
"9693","REPRESS","SUPPRESS",0.028,0
"9694","REPRIMAND","CORRECT",0.027,5e-04
"9695","REPRIMAND","PUNISHMENT",0.466,8e-04
"9696","REPRODUCE","CHILDREN",0.041,0.0035
"9697","REPRODUCE","INTERCOURSE",0.027,0
"9698","REPRODUCE","MULTIPLY",0.027,0
"9699","REPRODUCE","PRODUCE",0.054,0.001
"9700","REPRODUCE","REPLICATE",0.027,0
"9701","REPTILE","ALLIGATOR",0.095,0
"9702","REPTILE","LIZARD",0.27,0.0127
"9703","REPUBLIC","BANANA",0.074,0
"9704","REPUBLIC","COUNTRY",0.155,0.0112
"9705","REPUBLIC","DEMOCRACY",0.122,0.0028
"9706","REPUBLIC","DEMOCRAT",0.149,0.0152
"9707","REPUBLIC","DOMINICAN",0.034,0
"9708","REPUBLIC","GOVERNMENT",0.027,0.0232
"9709","REPUBLIC","POLITICS",0.047,0.0203
"9710","REPUBLICAN","CONSERVATIVE",0.033,0
"9711","REPUBLICAN","DEMOCRAT",0.587,4e-04
"9712","REPUBLICAN","ELEPHANT",0.027,0
"9713","REPUBLICAN","REAGAN",0.047,0
"9714","REPULSIVE","DISGUSTING",0.189,0.0342
"9715","REPULSIVE","SICKENING",0.028,0
"9716","REQUEST","ANSWER",0.027,0.0738
"9717","REQUEST","PLEASE",0.034,0.0074
"9718","REQUEST","QUESTION",0.041,0.2326
"9719","RESCUE","MISSION",0.034,0
"9720","RESEARCH","DISCOVER",0.028,0.0012
"9721","RESEARCH","EXPERIMENT",0.049,0.0023
"9722","RESEARCH","LIBRARY",0.07,0.0038
"9723","RESEARCH","SCIENCE",0.049,0.0059
"9724","RESERVATION","AIRPLANE",0.027,0
"9725","RESERVATION","APPOINTMENT",0.047,0
"9726","RESERVATION","DINNER",0.088,8e-04
"9727","RESERVATION","INDIAN",0.291,0
"9728","RESERVATION","VACATION",0.027,0.0146
"9729","RESERVE","PARKING",0.027,0
"9730","RESERVE","RESERVATION",0.034,0
"9731","RESISTANCE","AGAINST",0.041,0.002
"9732","RESISTANCE","DENIAL",0.031,0
"9733","RESISTANCE","STUBBORN",0.046,0
"9734","RESORT","DISNEY WORLD",0.041,0
"9735","RESORT","VACATION",0.27,0.0274
"9736","RESPECT","ADMIRE",0.142,0.0028
"9737","RESPECT","ELDERS",0.051,0
"9738","RESPECT","PARENT",0.091,0.0066
"9739","RESPIRATION","BREATHE",0.654,0.0046
"9740","RESPIRATION","PERSPIRATION",0.026,0
"9741","RESPOND","ANSWER",0.412,0.0517
"9742","RESPOND","IGNORE",0.033,0
"9743","RESPOND","QUESTION",0.033,0.2225
"9744","RESPOND","QUICKLY",0.033,0
"9745","RESPONSE","ACTION",0.034,0.0035
"9746","RESPONSE","ANSWER",0.49,0.0559
"9747","RESPONSE","QUESTION",0.048,0.2658
"9748","RESPONSE","REACTION",0.034,0.0032
"9749","RESPONSIBILITY","CHILDREN",0.058,0
"9750","RESPONSIBILITY","MATURE",0.094,0.0032
"9751","RESPONSIBILITY","PRESSURE",0.029,0
"9752","RESPONSIBLE","CARING",0.028,0
"9753","RESPONSIBLE","DEPENDABLE",0.049,0
"9754","RESPONSIBLE","IRRESPONSIBLE",0.062,0
"9755","RESPONSIBLE","NATURE",0.104,0
"9756","RESPONSIBLE","PERSON",0.056,0.0049
"9757","RESPONSIBLE","RELIABLE",0.062,0.0014
"9758","RESTAURANT","DINNER",0.044,0.0067
"9759","RESTAURANT","MCDONALD'S",0.03,0
"9760","RESTORE","DESTROY",0.028,0.0071
"9761","RESTORE","REBUILD",0.078,0
"9762","RESTORE","REFINISH",0.05,0
"9763","RESTRICTION","CURFEW",0.045,0
"9764","RESTRICTION","GROUNDED",0.091,0
"9765","RESTRICTION","PARENTS",0.061,0
"9766","RESTRICTION","PUNISHMENT",0.03,6e-04
"9767","RESTRICTION","TROUBLE",0.03,4e-04
"9768","RESTROOM","BATHROOM",0.296,0.0587
"9769","RESTROOM","RELIEF",0.026,0
"9770","RESTROOM","TOILET",0.171,0.1002
"9771","RESULT","ANSWER",0.103,0.0133
"9772","RESULT","CONCLUSION",0.081,0.0025
"9773","RESULT","CONSEQUENCE",0.051,0
"9774","RESULT","FINISH",0.044,0.0329
"9775","RESULT","OUTCOME",0.074,6e-04
"9776","RETAIN","REMEMBER",0.094,0.0068
"9777","RETARDED","DELAYED",0.026,0
"9778","RETARDED","DISORDER",0.04,0
"9779","RETARDED","HANDICAPPED",0.132,0
"9780","RETARDED","MENTAL",0.126,0.0022
"9781","RETARDED","SPECIAL",0.033,0
"9782","RETREAT","CHURCH",0.028,0.0026
"9783","RETREAT","RETURN",0.028,0.0023
"9784","RETREAT","WITHDRAW",0.033,0
"9785","RETURN","COME BACK",0.062,0
"9786","REVENGE","AVENGE",0.034,0
"9787","REVENGE","VENGEANCE",0.047,0
"9788","REVIEW","GO OVER",0.126,0
"9789","REVIVAL","BREATH",0.031,0.0016
"9790","REVIVAL","CHURCH",0.164,0.0211
"9791","REVIVAL","COME BACK",0.031,0
"9792","REVIVAL","REBORN",0.031,0
"9793","REVIVAL","RELIGION",0.084,0.0265
"9794","REVIVAL","RESUSCITATE",0.053,0
"9795","REVOLUTION","AMERICAN",0.027,0.0024
"9796","REVOLUTION","CHANGE",0.062,8e-04
"9797","REVOLUTION","EVOLUTION",0.034,0
"9798","REVOLUTION","FRENCH",0.027,0
"9799","REWARD","PUNISHMENT",0.029,0
"9800","REWARD","TROPHY",0.029,0.0034
"9801","RHYME","NURSERY",0.062,0
"9802","RHYME","POETRY",0.034,0.0056
"9803","RHYME","REASON",0.11,0
"9804","RHYME","RHYTHM",0.172,0
"9805","RHYME","SCHEME",0.034,0
"9806","RIB","BARBECUE",0.128,7e-04
"9807","RIBBON","PRESENT",0.068,0.0041
"9808","RIBBON","STRING",0.038,5e-04
"9809","RIBBON","WINNER",0.03,0.001
"9810","RIBBON","YELLOW",0.03,0.002
"9811","RIBS","BARBECUE",0.158,2e-04
"9812","RIBS","BROKEN",0.027,0
"9813","RICE","CHICKEN",0.027,0.0043
"9814","RICE","CHINESE",0.116,8e-04
"9815","RICE","RICE-A-RONI",0.055,0
"9816","RICE","WEDDING",0.082,0
"9817","RICH","WEALTH",0.074,0.0061
"9818","RIDDLE","PUZZLE",0.078,4e-04
"9819","RIDE","BICYCLE",0.055,0.0124
"9820","RIDER","COWBOY",0.028,0
"9821","RIDER","DRIVER",0.041,0.0147
"9822","RIDER","MOTORCYCLE",0.034,0.0026
"9823","RIDER","PASSENGER",0.11,0.0053
"9824","RIDICULE","CRITICIZE",0.04,3e-04
"9825","RIDICULE","MAKE FUN OF",0.074,0
"9826","RIDICULOUS","ABSURD",0.034,0
"9827","RIDICULOUS","LUDICROUS",0.027,0
"9828","RIDICULOUS","STUPID",0.13,0.0485
"9829","RIFLE","BULLET",0.034,0.0538
"9830","RIGHT","CORRECT",0.122,0
"9831","RIGHTEOUS","BROTHERS",0.158,0
"9832","RIGHTEOUS","RELIGIOUS",0.026,7e-04
"9833","RIGHTEOUSNESS","GOODNESS",0.027,0
"9834","RIGHTEOUSNESS","HONESTY",0.027,0
"9835","RIGHTEOUSNESS","RELIGIOUS",0.061,8e-04
"9836","RIGHTS","CONSTITUTION",0.046,0
"9837","RIGHTS","FREEDOM",0.084,0.0042
"9838","RIGHTS","PRIVILEGES",0.046,0
"9839","RIGID","FLEXIBLE",0.033,0
"9840","RIGID","SMOOTH",0.066,0.0519
"9841","RIM","BASKET",0.027,2e-04
"9842","RIM","BASKETBALL",0.147,0.003
"9843","RING","DIAMOND",0.081,0.0096
"9844","RING","ENGAGEMENT",0.081,9e-04
"9845","RING","FINGER",0.195,0
"9846","RING","JEWELRY",0.054,0
"9847","RING","MARRIAGE",0.067,0.0509
"9848","RING","WEDDING",0.101,0.0101
"9849","RINSE","SHAMPOO",0.042,0.002
"9850","RIOT","BLACKS",0.04,0
"9851","RIOT","POLICE",0.032,0.0061
"9852","RIOT","VIOLENT",0.048,0.0062
"9853","RISK","CHALLENGE",0.028,0.0031
"9854","RISK","CHANCE",0.241,3e-04
"9855","RISK","DANGER",0.234,5e-04
"9856","RITUAL","CEREMONY",0.143,0.0024
"9857","RITUAL","CHURCH",0.057,0.0225
"9858","RITUAL","RELIGIOUS",0.114,9e-04
"9859","RITUAL","SATANIC",0.036,0
"9860","RITUAL","TRADITION",0.079,0.0027
"9861","RIVER","MISSISSIPPI",0.031,0
"9862","RIVER","STREAM",0.118,0.0124
"9863","ROACH","DISGUSTING",0.049,0.013
"9864","ROACH","INSECT",0.077,0.0743
"9865","ROACH","REPELLANT",0.028,0
"9866","ROAD","HIGHWAY",0.061,0.0183
"9867","ROAD","PAVEMENT",0.03,3e-04
"9868","ROAD","STREET",0.348,0.0089
"9869","ROAD","TRAVEL",0.03,0.0031
"9870","ROAM","AROUND",0.055,0.0188
"9871","ROAM","BUFFALO",0.041,0
"9872","ROAM","WANDER",0.336,0
"9873","ROAM","WONDER",0.041,0
"9874","ROAR","SCREAM",0.085,0.0172
"9875","ROAST","TURKEY",0.048,0.0059
"9876","ROBBER","BURGLAR",0.049,0.0316
"9877","ROBBER","CRIMINAL",0.028,0.0091
"9878","ROBBERY","BURGLAR",0.068,0.0229
"9879","ROBBERY","BURGLARY",0.034,0.0038
"9880","ROBBERY","CRIMINAL",0.027,0.0134
"9881","ROBE","CLOTHES",0.079,0.0142
"9882","ROBE","PAJAMAS",0.047,0.0044
"9883","ROBE","SHOWER",0.047,0.0622
"9884","ROBE","SLIPPERS",0.055,0
"9885","ROBOT","ANDROID",0.033,0
"9886","ROBOT","COMPUTER",0.127,0.0293
"9887","ROBOT","FUTURE",0.027,0.0021
"9888","ROBOT","MACHINE",0.227,0.0231
"9889","ROBOT","MECHANICAL",0.107,0.0045
"9890","ROBOT","TECHNOLOGY",0.04,0.0043
"9891","ROCK","BOULDER",0.038,0
"9892","ROCKET","EXPLODE",0.035,0.0015
"9893","ROCKET","LAUNCH",0.069,9e-04
"9894","ROCKET","SCIENTIST",0.028,0
"9895","ROCKET","SHUTTLE",0.062,0.0299
"9896","ROCKS","BOULDER",0.04,0
"9897","ROCKS","MOUNTAIN",0.087,0.0181
"9898","ROCKS","PEBBLES",0.067,0
"9899","ROCKS","STONES",0.16,0
"9900","ROD","CURTAIN",0.028,0
"9901","ROD","FISHING",0.251,0.0948
"9902","ROD","STEWART",0.078,0
"9903","RODEO","COWBOY",0.154,4e-04
"9904","ROLL","BUTTER",0.076,0.078
"9905","ROMAN","CAESAR",0.027,0
"9906","ROMAN","CATHOLIC",0.094,0
"9907","ROMAN","EMPEROR",0.04,0.0091
"9908","ROMAN","EMPIRE",0.456,0
"9909","ROMAN","NUMERAL",0.04,0
"9910","ROMANCE","CANDLE",0.028,0
"9911","ROMANTIC","CANDLE",0.094,0
"9912","ROMANTIC","EVENING",0.027,0
"9913","ROMANTIC","FLOWERS",0.067,0.0127
"9914","ROOF","CEILING",0.173,0.005
"9915","ROOF","SHINGLE",0.118,0
"9916","ROOM","BEDROOM",0.15,0.0015
"9917","ROOM","LIVING ROOM",0.047,0.0033
"9918","ROOM","PRIVACY",0.031,0
"9919","ROOM","SQUARE",0.031,8e-04
"9920","ROOMMATE","FRIEND",0.354,0.0231
"9921","ROOST","CHICKEN",0.154,0.0638
"9922","ROOST","ROOSTER",0.077,0.0214
"9923","ROOSTER","CHICKEN",0.299,0.1405
